Name,Cost_INR_capped,CuisineOH_North_Indian,CuisineOH_Chinese,CuisineOH_Continental,CuisineOH_Biryani,CuisineOH_Asian,CuisineOH_Fast_Food,CuisineOH_Italian,CuisineOH_Desserts,CuisineOH_South_Indian,CuisineOH_Bakery,Avg_Rating,Review_Count,Avg_Pictures,Avg_Followers,Avg_Critic_Score,Avg_Sentiment,Pct_Positive,log_Review_Count,KMeans_Cluster,KMeans_Best_Cluster,Agg_Cluster,Agg_Best_Cluster
Mohammedia Shawarma,150,0,0,0,0,0,0,0,0,0,0,2.99,100,0.021972245773362195,0.0,0.0,0.018474000000000004,0.43,4.61512051684126,0,0,0,0
Arena Eleven,1600,0,0,1,0,0,0,0,0,0,0,4.117647058823529,85,0.6562722425500745,0.0,0.0,0.7335470588235294,0.8941176470588236,4.454347296253507,3,3,3,1
Cascade - Radisson Hyderabad Hitec City,1800,1,0,1,0,1,0,1,0,0,0,4.26,100,0.4412064538425271,0.0,0.0,0.7742640000000001,0.91,4.61512051684126,2,2,1,0
Collage - Hyatt Hyderabad Gachibowli,2250,1,1,1,0,1,0,1,0,0,0,3.41,100,0.47380358776518344,0.0,0.0,0.509261,0.77,4.61512051684126,2,2,1,0
Zing's Northeast Kitchen,550,0,0,0,0,0,0,0,0,0,0,3.65,100,0.48166113319572035,0.0,0.0,0.563517,0.79,4.61512051684126,1,1,1,0
Dunkin' Donuts,550,0,0,0,0,0,1,0,1,0,0,3.095,100,0.46702629319761013,0.0,0.0,0.337925,0.69,4.61512051684126,1,1,2,0
Desi Bytes,400,1,1,0,0,0,0,0,0,0,0,2.9,100,0.060684255882441106,0.0,0.0,0.19352799999999998,0.56,4.61512051684126,0,0,0,0
Hyderabadi Daawat,600,0,1,0,0,0,0,0,0,0,0,3.83,100,0.5737470784031146,0.0,0.0,0.5699649999999999,0.78,4.61512051684126,2,2,1,0
Zega - Sheraton Hyderabad Hotel,1750,0,0,0,0,1,0,0,0,0,0,4.45,100,0.3152385648724943,0.0,0.0,0.8524290000000001,0.96,4.61512051684126,2,2,1,0
Triptify,400,1,0,0,0,0,0,0,0,0,0,3.55,100,0.08435549202375726,0.0,0.0,0.343939,0.61,4.61512051684126,0,0,0,0
Chinese Pavilion,1000,0,1,0,0,0,0,0,0,0,0,3.745,100,0.6084630849187682,0.0,0.0,0.7581659999999999,0.92,4.61512051684126,2,2,1,0
